Questions,Answers,,
What is a typical communication network may consist of ?,"servers, internet connectivity devices, computers, routers and smart devices",,
A remote employee needs to be able to access corporate email and file sharing but doesn't necessarily have a lot of technical knowledge. What is the best access method?,VPN,,
What service does a VPN solution provide?,Remote access to private network resources,,
"In the VLAN configuration example, each department has their own set of user _____ that are required only for their specific jobs. This keeps each department from being able to access another departments data?",permissions,,
Why is Telnet discouraged as an access method?,Telnet is unsecure.,,
What IMAP can allow a user with multiple devices to ?,access their emails simultaneously from any of the devices.,,
"Apart from allowing a variety of media formats and sending multiple attachments at once, what other primary benefit did MIME bring to the world of email?",An unlimited number of characters in the body of the message.,,
"In order to check the nodes that are connected to a system, one can use the command?",netstat,,
The command tracert is used for which of the following purpose?,Identifying the route that a packet travels in the network before reaching the destination,,
What is Address Translation(AT)?,AT is mapping private IP addresses to public IP addresses,,
What is an IP address?,An IP (Internet Protocol) address is a series of numbers which is used to identify a device within a network environment,,
How does RIP route payloads?,By advertising a connected table to all neighbors every 30 seconds.,,
Which of the following statements is true?,Authoritative name servers respond to queries from recursive name servers,,
What is VOIP stands for?,Voice Over Internet Protocol,,
Which of the following statements about a VLAN environment is TRUE?,Computers or nodes by default are not VLAN aware,,
What is a VPN?,A network that is only accessible with the correct credentials,,
What is one advantage of cloud computing?,Simplicity,,
What is SSH uses to ensure authentication and security?,public-key cryptography,,
Where does the cloud concept originate?,Network diagram,,
"In WANs, which of the following is NOT a characteristic of mesh topology?",Broadcasts are transmitted over a backbone which is accessible and seen by all connected sites,,
Which type of network transmission mode transmits data in both directions simultaneously?,Synchronous,,
"In a cable network environment, what is the name of the cable type that connects from the wall outlet to the modem?",Coaxial,,
A data measurement unit that contains 8 bits of information is known as which of the following?,Byte,,
Which of these answers describes one possible method to prevent or limit the impacts of a DoS or DDoS?,Install and maintain anti-virus (AV) software,,
Network security is made up of which items?,"hardware devices, specialized software, physical security, and rules for people to follow",,
"Which is the oldest, least secure method of wireless security?",WEP,,
Why is a multi-layered approach to network security is best ?,Because different types of network security systems focus on different threats and vulnerabilities,,
A client/server system with a single server and multiple clients represent what tier in terms of network architecture?,Two-tier,,
Which of the following is true about TCP/IP or Transmission Control Protocol/Internet Protocol?,TCP/IP is a communication protocol that enables you to send and receive information over the Internet.,,
What is bandwidth of a computer network refers to?,the amount of data that can be transferred over a network per second,,
SD-WAN is best used for which task?,Connecting branches to the cloud,,
"Which of the following media is comparatively cheaper, lighter and easier to install?",Twisted pair cable,,
What is time multiplexing used for in computer science?,Sharing access to a commonly used resource,,
Which of the following is false with respect to Frequency Division Multiplexing?,There is no cross-talk issue in Frequency Division Multiplexing.,,
Which is a standard connector for unshielded twisted pair cable that resembles RJ-11 telephone jacks?,RJ-45,,
What type of coverage does Wi-Fi provide?,Medium range wireless communication,,
Which of the following is/are true?,Wireless Access Points connect devices that have WI-FI or Bluetooth connectivity.,,
What is a single Wi-Fi Access Point can cover a geographic area as large as ?,House,,
Which application operates in the frequency range 87.5 - 108 MHz?,FM Radio,,
Which of the following is true about half-duplex mode?,Data is transmitted in both directions but not at the same time.,,
"Which option contains the name of the layer responsible for translating, encrypting and compressing data within the OSI model?",Presentation,,
The transport layer performs data packet creation and what other types of services?,Error checking,,
What is it called when the receiving system lets the sender know the data was received at its destination ?,Acknowledgement,,
What is a star-wired ring hybrid topology?,It's set of star topologies are connected by a ring topology as the adjoining topology,,
What is parallel backbone networks differ from collapsed backbone networks in that parallel backbone components are implemented with ?,duplicate concurrent connections to the high level backbone route,,
What is a wireless network for Internet access in a large building is typically connected in?,mesh topology,,
What is the tree network topology is a special type of?,star/bus/hybrid topology ,,
What type of hardware device is a WiFi card?,A network interface card to establish a wireless connection,,
What is VLAN Identifiers are ?,managed by switch ports and used to identify each VLAN,,
A PCMCIA LAN card typically goes where?,Inside a laptop,,
What is the individuals and social networking platforms that have the ability to store Terabytes of data away from local devices by the use of it?,The Cloud,,
What is variable length subnet masking used for?,It is used to create smaller networks by using variants on classful subnets.,,
What is the organization that currently regulates and manages the Internet ?,ICANN,,
Represents a standard IP address?,10101000/01001010/00000101/11100111,,
Which of these is not one of TCP/IP's five protocol layers?,Transmission,,
What is the two types of signaling protocols for VoIP and Video-Over-IP handle controls for these two areas?,Sessions and media,,
Which part of the transport protocol works in conjunction with signaling protocols in VoIP communications?,RTP,,
What is a MPLS makes use of to make a faster and more efficient network ?,Short path labels,,
What is signaling protocols exist to?,determine the connection between the sending device and the receiving device.,,
What is the mail command starts the process of sending sequential lines of texts with the message?,354,,
The command tracert is used for which of the following purpose?,Identifying the route that a packet travels in the network before reaching the destination,,
"In the SMTP server to server set up, the email clients serve to What ?",Receive/Send and queue messages between SMTP servers and clients,,
What is IMAP?,(IMAP) is a standard internet protocol used for the retrieval of email messages from an email server.,,
"What is the official name of the second version of Secure Shell, which became the standard in 2006?",SSH2,,
What is one of the major differences between a DSL network and a cable network?,"DSL only worked well if the modem was close to the main service area, cable does not have such restrictions.",,
"Of the options listed, which is the most used WAN (Wide Area Network) carrier?",MPLS,,
"In WANs, what advantage does the ring topology have over the bus topology?",Data transmission is multidirectional,,
What are the benefits of a DSL network over the previous method known as dial-up?,All of these answers are correct.,,
What unit of data measurement is used with synchronous transmissions?,Block,,
What is the 'local factor' in designing a network?,The infrastructure available locally through the local exchange carrier,,
How IMAP is the vehicle?,"messages are moved, organized and manipulated between the mail server and the mail client application",,
A client plans to have a network to connect many computers in one room and at the same time allow access to the Internet from these computers. What are the devices that the client is going to need?,A switch and a router.,,
Which device provides access control functionality between networks?,A router,,
What kind of channel does broadband transmission use?,Bandpass channel,,
What is an advantage of optical fiber over traditional copper wiring is?,Less bulk,,
Which option below lists the function(s) of a modem?,modulation and demodulation,,
Which of the following connectors are also used with multimode and single-mode fiber optic cables for accessing gigabit ethernet?,MT-RJ,,
Which of the following devices can be used to interface computer networks that use different communication protocols?,Gateway,,
What does NIC stand for?,Network interface card or controller,,
How does the use of a router differ from a bridge in telecommunication?,"A router is a communication device that is used to connect two different networks, while a bridge is networking device that divides the network into different segments to manage the amount of traffic.",,
Which of the following contains a large number of ports to connect network segments and sends the data it receives only to specific ports?,Switch,,
What makes a computer service a cloud computing service?,Being hosted on the internet,,
What access method works best over mobile connections?,Mosh.,,
What is one disadvantage of cloud computing?,Access,,
What is TCP/IP?,"TCP/IP (Transmission Control Protocol/Internet Protocol) is a suite of communication protocols used to interconnect network devices on the internet. It provides end-to-end connectivity by specifying how data should be formatted, addressed, transmitted, routed, and received.",,
Difference between TCP and UDP?,"TCP (Transmission Control Protocol) is connection-oriented and provides reliable, ordered data transmission. UDP (User Datagram Protocol) is connectionless and does not guarantee delivery or ordering of data.",,
Explain the HTTP protocol?,"HTTP (Hypertext Transfer Protocol) is the foundation of data communication on the World Wide Web. It defines the structure of messages and how they're transmitted, allowing web browsers to retrieve and display web pages.",,
What is SMTP?,SMTP (Simple Mail Transfer Protocol) is used for sending and receiving emails. It works between mail servers to send messages from a client to the server or between servers.,,
Difference between IPv4 and IPv6?,"IPv4 uses 32-bit addresses, allowing for approximately 4.3 billion unique addresses. IPv6 uses 128-bit addresses, enabling significantly more unique IP addresses, essential for the growing number of internet-connected devices.",,
Define FTP?,FTP (File Transfer Protocol) is used to transfer files between a client and a server on a computer network. It allows for the downloading and uploading of files.,,
What is DNS?,"DNS (Domain Name System) translates domain names into IP addresses, making it easier for users to access websites by typing in a domain name rather than a long string of numbers.",,
Explain SNMP?,SNMP (Simple Network Management Protocol) is used to manage devices on IP networks. It is commonly used in network management systems to monitor network-attached devices for conditions that warrant administrative attention.,,
Describe SSH?,SSH (Secure Shell) is a cryptographic network protocol used for secure communication over an unsecured network. It provides a secure channel over an insecure network by using encryption and authentication.,,
What is DHCP?,DHCP (Dynamic Host Configuration Protocol) is used to automatically assign IP addresses and other network configuration information to devices on a network. It simplifies the process of connecting to a network by assigning addresses dynamically.,,
What are Network protocols?,"Network protocols are a set of rules and conventions governing how devices communicate and interact in a computer network. These protocols define the procedures, formats, and specific requirements for communication between different devices. They establish the standards for data transmission, including how data is formatted, transmitted, received, and acknowledged within a network.",,
What is Standardization?,Protocols ensure that different devices and systems can communicate with each other by following the same set of rules and standards.,,
What is Data Formatting?,"They define how data is structured, encoded, and formatted for transmission, specifying the order and organization of the information being exchanged.",,
What is Addressing and Routing?,Protocols determine how devices are addressed within a network and how data is routed from one point to another.,,
What is Error Detection and Correction?,"Some protocols include mechanisms to detect errors during data transmission and correct them, ensuring data integrity.",,
What is Sequencing and Flow Control?,Certain protocols manage the sequence of data transmission and regulate the flow of information between devices to prevent overload or data loss.,,
"SSH client and server utilities are found on most operating systems by default, except What ?",Microsoft Windows,,
Which of the following is a medium used by internet service providers to transmit data?,Copper wire,,
What is a server?,A computer that hosts data and other resources for clients,,
What could Wi-Fi 7 provide support for?,Send data on multiple frequencies,,
What is a network client?,A computer that connects to a server in order to use and share resources with it,,
What is a star-wired ring hybrid topology?,It's set of star topologies are connected by a ring topology as the adjoining topology,,
What is the tree network topology is a special type of?,star bus hybrid topology,,
What is the label in multi-protocol label switching contains?,information on the predefined path for the packets to reach their destination,,
What is padding data required within an Ethernet frame to?,fulfill minimum field length requirement,,
Which of the following statements is true when a user first makes a DNS query by typing the domain name into the web browser?,The local DNS cache is queried,,
"When it comes to home networks, how is the primary IP address generated for all devices?","The ISP assigns a static address to the location, which is translated through a NAT.",,
Explain about RARP?,"Frame Format of RARP , Encapsulation",,
Explain about Internet Control Message Protocol ?,"Message types,Message format,Error Reporting,Echo Request and reply,Time stamp request and reply,Address mask request and reply message.",,
What is routing?,Routing is a process of selecting paths in a network through which network traffic is sent.,,
Define an internetwork.?,A collection of interconnected network is called an internetwork.,,
What does routing metric mean?,A routing metric is a unit calculated by a routing algorithm for selecting or rejecting a routing path for transferring data/traffic.,,
What are the metrics used in determining the best path for a routing protocol?," Bandwidth, Delay, Load, Reliability, Cost, Hop count, MTU, Ticks",,
What is multicasting?,Multicasting is the delivery of information to a group of destinations simultaneously using the mostefficient strategy to deliver the messages over each link of the network only once.,,
What are different types of multicast routing?,"Reverse path multicasting , Reverse path broadcasting",,
What is multicast? What is the motivation for developing multicast?,Multicasting means delivering the same packet simultaneously to a group of clients. Motivation for developing multicast is that there are applications that want to send a packet to more than one destination hosts.,,
Define RIP?,RIP is a dynamic protocol used for finding the best route or path from ene-to-end over a network by using a routing metric/ hop count algorithm.,,
What is OSPF?,OSPF protocol is a router protocol used within larger autonomous system networks in preference to the Routing Information Protocol (RIP).,,
What are the features of OSPF?," Authentication of routing messages, Additional hierarchy, Load balancing",,
Mention any four applications of multicasting?," Broad casts of audio and video, Video conferencing, Shared Applications, IGMP is used by multicast routers to keep track of membership in a multicast group.",,
Describe the process of routing packets ?,Routing is the act of moving information across an internetwork from a source to a destination.,,
What are the some routing algorithm types?,"The routing types are static, dynamic, flat, hierarchical, host-intelligent, router- intelligent, intra-domain, inter-domain, link state and distance vector.",,
What is a benefit of DHCP?,"Simplicity: clients need to manual configuration, Mobility and hosts: Hosts may move between networks without reconfiguring, Mobility of network: Possible for internet service providers to reconfigure customers address transparently., Save address space if individual clients are not always active.",,
What are the 3 types of routing performed by BGP?,"Inter-autonomous system routing, Intra-autonomous system routing, Pass through autonomous system routing",,
What are the different kinds of multicast routing?,"DVMRP, PIM, MSDP, MOSPF ,MBGP",,
Write the types of PIM ?,"PIM Sparse mode, PIM Dense mode, Bidirectional PIM, Source Specific Multicast (SSM)",,
How can the routing be classified?,"The routing can be classified as,Adaptive routing ,Non-adaptive routing.",,
What are the salient features of IPv6?,"Salient features are: Efficient and hierarchical addressing and routing infrastructures, IPv6 networks provide auto configuration capabilities, Better support for QOS, Large Address space.",,
Write the BGP Message types ?,"Open, Update, Notification, Keep-alive",,
Explain IP addressing method?,"Internetwork protocol (IP) Datagram, Addressing Classes, Dotted decimal notation",,
What is the type of bridges?,"Simple bridge, Multi-port bridge ,Transparent bridge",,
Explain sub-netting ?,"Three levels of hierarchy masking, Masks without sub-netting, Masks with sub-netting, Finding the sub-network address, Boundary level masking, Non-boundary level masking",,
Write short notes about routers ?,"Routing concepts, Least-cost routing, Non adaptive routing, Adaptive routing, Packet lifetime",,
What are the fields on which the UDP checksum is calculated? Why?,"UDP checksum includes a pseudo header, the UDP header and the data coming from the application layer.",,
What are the advantages of using UDP over TCP?,"UDP does not include the overhead needed to detect reliability , It does not need to maintain the unexpected deception of data flow , UDP requires less processing at the transmitting and receiving of hosts. , It is simple to use for a network, The OS does not need to maintain UDP connection information.",,
What is TCP?,"TCP provides a connection oriented, reliable byte stream service. The connection oriented means the two applications using TCP must establish a TCP connection with each other before they can exchange data.",,
Define congestion ?,"When too many packets rushing to a node or a part of network, the network performance degrades. This situation is called as congestion.",,
What is the flag used in TCP header ?,"TCP header contains six flags. They are URG, ACK, PSH, RST, SYN, FIN",,
What is the approaches to improve the QoS ?,"Fine grained approaches, which provide QoS to individual applications or flows. Integrated services, QoS architecture developed in the IETE and often associated with RSVP.",,
What do you mean by QoS?,Quality of Service is used in some organizations to help provide an optimal end user experience for audio and video communications. QoS is most commonly used on networks where bandwidth is limited with a large number of network packets competing for a relatively small amount of available and width.,,
What is multiplexing?,"The job of gathering data chunks at the sources host from different sockets, encapsulating each data chunks with header information to create segments, and passing the segments to the network layer is called multiplexing.",,
What is de-multiplexing?,The job of delivering the data in a transport layer segment to the correct socket is called demultiplexing.,,
What is RTT?,"RTT is an acronym for Round Trip Time: it is a measure of the time it takes for a packet to travel from a computer, across a network to another computer, and back.",,
What is the segment?,Transport layer protocols send data as a sequence of packets. In TCP/IP these packets are called segments.,,
What is a port?,Applications running on different hosts communicate with TCP with the help of a concept called as ports. A port is a 16 bit unique number allocated to a particular application.,,
What is the services of end to end services?,"Guarantee message delivery, Delivery messages in the same order they are sent , Deliver at most one copy of each message, Support arbitrarily large message. , Support synchronization.",,
What is congestion?,"When load on network is greater than its capacity, there is congestion of data Packets. Congestion occurs because routers and switches have queues or buffers.",,
What are the functions of transport layer?,"Breaks messages into packets , Connection control. , Addressing. ,Provide reliability.",,
What are the types of QoS tools?,"Classification Congestion management, Congestion avoidance , Shaping/policing , Link efficiency",,
List some ways to deal with congestion ?,"packet elimination , Flow control , Buffer allocation , Choke packets",,
Define network congestion?,When two or more nodes would simultaneously try to transmit packets to one node there is a high probability that the number of packets would exceed the packet handling capacity of the network and lead to congestion.,,
What is the three types of addresses in TCP/IP?,"Three types of addresses are used by systems using the TCP/IP protocol: the physical address, the internetwork address (IP address), and the port address.",,
What is the flow characteristics related to QoS?,"Reliability , Delay , Jitter , Bandwidth",,
What are the techniques to improve QoS?,"Scheduling , Traffic shaping , Resource reservation , Admission control",,
What is Socket address?,The combination of IP address and port address is called Socket address.,,
What are the two types of protocols used in Transport layer?,"TCP , UDP",,
Define Throughput?,It is defines as a number of packets passing through the network in a unit of time.,,
Define UDP?,"User datagram protocol is a Unreliable, connectionless protocol, used along with the IP protocol.",,
What is the need of port numbers?,Port numbers are used as an addressing mechanism in transport layer.,,
What are the types of port numbers used in transport layer?,"Well-known port , Registered port , Dynamic port",,
Why TCP services are called Stream delivery services?,TCP allows the sending process to deliver data as a stream of bytes and the receiving process to deliver data as a stream of bytes. So it is called as stream of bytes.,,
Define jitter?,"Jitter is defined as a variation in the delay of received packets. The sending side transmits packets in a continuous stream and spaces them evenly apart. Because of network congestion, improper queuing, or configuration errors, the delay between packets can vary instead of remaining constant.",,
Explain connectionless service ?,In connection less service there is no connection between transmitter & receiver Ex: UDP,,
Explain connection oriented service?,In connection oriented service there is a connection between transmitter & receiver Ex: TCP,,
What is Unicast communication?,Unicast communication is one source sending a packet to one destination.,,
What is Multicast communication?,Multicast communication is one source sending a packet to multiple destinations.,,
Explain the duties of transport layer?,"End to end delivery , Addressing , Reliable delivery , Error control , Sequence control , Loss control , Duplication control , Flow control , Multiplexing",,
What is UDP?,"Source port address , Destination port address , Total length , Checksum",,
What is TCP?,"Source port address,Destination port address,Sequence number,Acknowledgement number,Header length,Reserved Control,Window size,Check sum,Urgent pointer,Options and padding",,
What is congestion control?,"Congestion Control , BECN , FECN , Four situations , Discarding",,
What is Congestion Avoidance?,"DECbit scheme , RED",,
What is QoS Policing in detail?,"Integrated service , Traffic Shaping , Admission Control , RSVP , Differentiated Services/Qos",,
Define the two types of user agents in the electronic mail system?,"command driven , GUI based",,
Explain the command driven ?,It normally accepts a one character command from the keyboard to perform its task.,,
Explain the GUI based ?,They contain GUI components that allow the user to interact with the software by using both the keyword and mouse.,,
What is DNS?,DNS is a client/server application that identifies each host on the internet with a unique user friendly name.,,
What is the purpose of inverse domain?,The inverse domain is used to map an address to a name.,,
What is SMTP?,Simple Mail Transfer Protocol is a standard and reliable host to host mail transport protocol that operates over the TCP port 25.,,
What is the Purpose of SNMP?,"The primary purpose of SNMP is to allow the network administrator to monitor and configure devices on the network, remotely via the network. These configuration and monitoring capabilities are collectively referred to as management.",,
What is the Domain name system responsible for?,The Domain Name system converts domain names (of the form www.vtubooks.com) into IP numbers.,,
What are the four main properties of HTTP?,"Global Uniform Resource Identifier, Request response exchange, Statelessness, Resource meta data",,
What is SMTP used for?,"SMTP is used when email is delivered from an email client, such as Outlook Express, to an email server or when email is delivered from one email server to another.",,
What range of addresses can be issued to a class C network?,192.0.0.0-223.255.255.255,,
NAT serves which two main purposes?,Protecting the private network from the public domain and conserving the availability of public IP addresses.,,
What legal and regulatory system governs the way data is handled in a medical office?,HIPAA,,
What is WEP affects in a network?,wireless connections,,
Information transmitted across a wireless network should be what?,"so if it is intercepted, it is meaningless without being decoded?,encrypted",,
What is has/have become as important as your wallet in this world and you must be ready to protect it?,smartphone,,
VOIP networks use primarily what kind of switching technology?,Packet switching,,
What is VOIP stands for?,Voice Over Internet Protocol,,
"What is MPLS makes use of,to make a faster and more efficient network? ",Short path labels,,
What role do transport protocols play in video or voice over IP communications?,They deliver the audio and video data.,,
"Which option contains the name of the layer responsible for translating, encrypting and compressing data within the OSI model?",Presentation,,
The presentation layer of the OSI model is responsible for integrating all data formats into what type of form?,Acceptable and compatible,,
What is the terms refers to defining the rules for communication between two computers to prevent overload?,Flow Control,,
What is NOT a difference between regular mobile phones and satellite phones?,Two-way wireless communication,,
What type of coverage does Wi-Fi provide?,Medium range wireless communication,,
What is the wireless technologies would fit under the WAN category?,Cellular,,
What is a WAN topology?,WAN topology describes the arrangement by which components within the WAN are organized,,
How many nodes for a network would a /23 be good for address space in IPv4?,Up to 512,,
What is meant by a link and node?,"A network includes two or more computers connected directly by a physical medium like coaxial cable or optical fiber. Link is the physical medium of connection in this setup, and nodes are the computers connected. ",,
Define IP address?,"In a network system, an IP address is a unique software address of a computer. It is 32 bit. ",,
What do you understand by DNS?,"There are two types of server/client programs. One is directly used by the user and the other support application programs. Domain Name system belongs to the second type as it is used by other programs, for example, to find the IP address of an e-mail recipient. ",,
What is a peer-to-peer process?,A peer-to-peer process refers to all processes on a machine that communicates at a given layer.,,
Define network topology?,Network topology refers to the network's physical structure that defines how nodes or computers will be connected.  ,,
What is a firewall?,A firewall is a security system concept that helps in protecting computers from any cyber-attack or unauthorized access. ,,
What is the maximum segment length of the 100Base-FX network?,The maximum length of a 100Base-FX network is 412 meters. ,,
What is the role of the network layer in the OSI reference model?,"The network layer is responsible for packet switching, control of network congestion, and data routing. This layer has routers operating under it. ",,
What is OSI and its role in computer networks?,"OSI or Open Systems Interconnect is a reference model for data communication. It has seven layers, each defining a particular aspect of how network devices communicate and connect. One layer dictates how data is transmitted, while the other deals with physical media used. ",,
What is the disadvantage of the peer-peer network?,"As the resources to be accessed are shared by one of the workstations on the network, there is a performance hit. ",,
What is ping?,Ping is a utility program that allows us to check connectivity on the network between network devices. A device can be pinged by using its device name(like computer name) or IP address. ,,
What is meant by clustering support?,"Clustering support is the ability of a network operating system in a fault-tolerant group to connect multiple servers. The primary purpose of clustering is that if one server fails, the processing can continue with the next server in the cluster.",,
How does dynamic host configuration protocol help in network administration?,The network administrator applies the dynamic host configuration protocol to create a pool of IP addresses instead of visiting each client computer to configure a static IP address. This pool is known as the scope that can be assigned to clients dynamically.,,
What do you understand by decoder?,The decoder is a type of circuit that converts the digital signal into an analog signal and encoded data into its original format. ,,
What is the use of Pseudo TTY?,It is a false terminal allowing external machines to log in or to connect through Telnet. No connection can take place without it. ,,
What is the advantages of a Modem?,Some advantages of modem are Its speed depends on the cost/It is more helpful in connecting LAN with the Internet/It is the most widely used data communication roadway. ,,
What is Proxy Server and its function?,"IP addresses are required for data transmission and are even used by DNS to route to the correct website. Without knowledge of the actual and correct IP address, it is not possible to identify the network's physical location. Proxy servers prevent unauthorized access of IP addresses and make the computer network virtually invisible to external users.  ",,
What are the characteristics of networking?,The characteristics of networking are Medium- the channel used by computers for communication/Topology- the way computers are arranged in the network physically or logically/Protocols- deals with how computers communicate with one another. ,,
What do you understand by beaconing?,"When a network self-repair its issues, then it is known as beaconing. It is mainly used in Fiber Distributed Data Interface (FDDI) and token ring networks. If a device in the network faces any problem, then the devices that are not receiving any signal are notified. This way, the problem gets repaired within the network.",,
What is LAN ?,"LAN refers to Local Area Network. It is the network between devices located in a remote physical location. It can be either wired or wireless. What is SLIP?,SLIP refers to Serial Line Interface Protocol. It is used for transmitting IP datagrams over a serial line.",,
What is an anonymous FTP?,"Anonymous FTP allows users to access public data. The user need not identify himself to the server, and the login is anonymous. So, while using anonymous FTP, you are required to add 'anonymous' in place of the user id. Anonymous FTPs effectively distribute large files to many people without giving vast numbers of password and username combinations. ",,
What is UTP cable ?,A UTP cable is made up of copper and has a resistance of 100 ohms. It includes 2-1800 unshielded twisted pairs surrounded by a non-metallic case. These twists provide immunity to EMI and electrical noise.,,
What do you understand by TCP?,Transmission Control Protocol or TCP is a connection-oriented protocol that maintains an established connection between communicating devices until both are done exchanging messages. This protocol is used to determine how application data can be delivered over a network using packets. It also receives and sends packets from and to the network layer and is in charge of flow control.,,
What is meant by NOS?,"NOS or Network Operating System is an operating system designed to support databases, workstations, personal computers, and networks. For example, Linux, MAC OS X, Windows Server 2008. These OS provide functionalities such as multiprocessing support, processor support, web services, authentication, etc. ",,
What is piggybacking? ,"In two-way communication, the receiver sends an acknowledgment to the sender on receiving the data packets. Suppose the receiver does not send the acknowledgment immediately and waits till the network layer passes in the following data packet. In that case, an acknowledgment is attached to the outgoing data frame. This process is known as piggybacking. ",,
What do you understand by DHCP?,"Dynamic Host Configuration Protocol or DHCP is a network management protocol. DHCP automatically assigns IP addresses to the devices on the network and is used on the UDP/IP networks. In turn, it reduces the need for a network admin to assign IP addresses manually; this further reduces errors. ",,
What is the best place to install an antivirus program in a network containing twenty workstations and two servers?,The best option is to install antivirus on all the computers of the network. This will protect all devices from others in case there is a virus inserted into the server. ,,
