Questions,Answers,
What is durability in DBMS?,"Once the DBMS informs the user that a transaction has successfully completed, its effects should persist even if the system crashes before all its changes are reflected on disk. This property is called durability.",
What do you mean by flat file database?,It is a database in which there are no programs or user access languages. It has no cross-file capabilities but is userfriendly and provides user-interface management.,
"What is ""transparent DBMS""?","It is one, which keeps its Physical Structure hidden from user.",
What is a query?,A query with respect to DBMS relates to user commands that are used to interact with a data base. The query language can be classified into data definition language and data manipulation language.,
What is Storage Manager?,"It is a program module that provides the interface between the low-level data stored in database, application programs and queries submitted to the system.",
What is Buffer Manager?,"It is a program module, which is responsible for fetching data from disk storage into main memory and deciding what data to be cache in memory.",
What is Transaction Manager?,"It is a program module, which ensures that database, remains in a consistent state despite system failures and concurrent transaction execution proceeds without conflicting.",
What is File Manager?,"It is a program module, which manages the allocation of space on disk storage and data structure used to represent information stored on a disk.",
What is Authorization and Integrity manager?,"It is the program module, which tests for the satisfaction of integrity constraint and checks the authority of user to access data.",
What do you mean by instances?,The collection of information stored in the database at a particular moment is called instance.,
What do you mean by schemas?,The overall design of the database is called the database schema.,
What is an entity relationship model?,The entity relationship model is a collection of objects called entities and relationship among those entities. An entity is a thing or object in the real world entity.,
Define data model.,"A collection of conceptual tools for describing data, data relationships, data semantics and consistency constraints for underlying the structure of a database is data model.",
What are attributes?,An entity is represented by a set of attribute. Attribute are descriptive properties possessed by each member of an entity set.,
What is meant by normalization of data?,"It is a process of analyzing the given relation schemas based set of functional dependencies and primary key to achieve the properties ,minimizing redundancy.",
What is meant by functional dependencies?,To test relations to see whether they are legal under a given set of functional dependencies. To specify constraints on the set of legal relations.,
Define lock.,Lock is the most common used to implement the requirement is to allow a transaction to access a data item only if it is currently holding a lock on that item.,
What is a recovery scheme?,An integral part of a database system is a recovery scheme that can restore the database to the consistent state that existed before the failure.,
What is Inter query parallelism?,"In Inter query parallelism, different queries or transactions execute in parallel with one another. This form of parallelism can increase transaction throughput.",
What is Intra query parallelism?,Intra query parallelism refers to the execution of a single query in parallel on multiple processors and disks.,
What is data parallism?,Execution of the same operation in parallel on different sets of data is called data parallism.,
What is independent parallelism?,Operations in a query expression that do not depend on one another can be executed in parallel. This form of parallelism is called independent parallelism.,
Write the types of fragmentation?,"Horizontal fragmentation, vertical fragmentation, mixed fragmentation.",
What is a transaction?,A transaction is a collection of operations that performs a single logical function in a database application.,
What is database Trigger?,"A database trigger is a PL/SQL block that can defined to automatically execute for insert, update, and delete statements against a table.",
What are stored-procedures?,Stored procedures are database objects that perform a user defined operation.,
What are the advantages of using stored-procedures?,Stored procedures are used to reduce network traffic.,
Define Database.,A prearranged collection of figures known as data is called database.,
What is DBMS?,Database Management Systems (DBMS) are applications designed especially which enable user interaction with other applications.,
What do database languages do?,"Data definition language , Data manipulation language , Query language",
Define database model.,"A data model determining fundamentally how data can be stored, manipulated and organised and the structure of the database logically is called database model.",
What is SQL?,Structured Query Language (SQL) being ANSI standard language updates database and commands for accessing.,
Define One-to-one.,Single table having drawn relationship with another table having similar kind of columns.,
Define One-to-many.,Two tables having primary and foreign key relation.,
Define Many-to-many.,Junction table having many tables related to many tables.,
Define Normalization.,Organized data void of inconsistent dependency and redundancy within a database is called normalization.,
Enlist the advantages of normalizing database.,"No duplicate entries ,Saves storage space ,Boasts the query performances.",
Define Denormalization.,"Boosting up database performance, adding of redundant data which in turn helps rid of complex data is called denormalization.",
Define DDL.,Managing properties and attributes of database is called Data Definition Language(DDL).,
Define DML.,"Manipulating data in a database such as inserting, updating, deleting is defined as Data Manipulation Language. (DML)",
Why is group-clause used?,Group-clause uses aggregate values to be derived by collecting similar data.,
Define Aggregate functions.,Functions which operate against a collection of values and returning single value is called aggregate functions,
Define Scalar functions.,Scalar function is depended on the argument given and returns sole value.,
What do you mean by Index hunting?,Indexes help in improving the speed as well as the query performance of database. The procedure of boosting the collection of indexes is named as Index hunting.,
Define B-trees.,"A data structure in the form of tree which stores sorted data and searches, insertions, sequential access and deletions are allowed in logarithmic time.",
Differentiate Table Scan from Index Scan.,Iterating over all the table rows is called Table Scan while iterating over all the index items is defined as Index Scan.,
What do you mean by Fill Factor concept with respect to indexes?,Fill Factor can be defined as being that value which defines the percentage of left space on every leaf-level page that is to be packed with data. 100 is the default value of Fill Factor.,
Define Fragmentation.,Fragmentation can be defined as a database feature of server that promotes control on data which is stored at table level by the user.,
What is Database partitioning?,"Division of logical database into independent complete units for improving its management, availability and performance is called Database partitioning.",
Define Database system.,DBMS along with database is called Database system.,
What do you mean by Query Evaluation Engine?,Query Evaluation Engine executes the low-level instructions that are generated by the compiler.,
Define DDL Interpreter.,DDL statements are interpreted and recorded in tables called metadata.,
Define Atomicity.,Itâ€™s an all or none concept which enables the user to be assured of incomplete transactions to be taken care of. The actions involving incomplete transactions are left undone in DBMS.,
Define Aggregation.,The collected entities and their relationship are aggregated in this model. It is mainly used in expressing relationships within relationships.,
Enlist the various transaction phases.,"Analysis Phase ,Redo Phase ,Undo Phase",
Define Object-oriented model.,Compilations of objects make up this model in which values are stored within instance variables which is inside the object. The object itself comprises bodies of object for its operation which are called methods. Objects containing same kind of variables and methods are called classes.,
Define Entity.,It can be defined as being a â€˜thingâ€™ with an independent existence in the real world.,
What do you mean by Entity type?,A set of entries having similar attributes are entity types.,
Define Entity Set.,Compilation of all entries of any particular type of entry in the database is called Entity Set.,
What do you mean by Entity type extension?,Compilation of similar entity types into one particular type which is grouped together as an entity set.,
What is a database?,A database is a structured collection of data that is organized and stored in a way that enables efficient retrieval and management.,
Explain the concept of database normalization and denormalization.,"Database normalization is the process of organizing data to reduce redundancy and dependency, while denormalization involves adding redundant data to improve query performance.",
What is a database?,"A database is a structured collection of data that is organized and stored for easy access, retrieval, and management.",
What are the types of databases?,"The main types of databases are relational, NoSQL, object-oriented, and graph databases.",
What is SQL?,SQL (Structured Query Language) is a programming language used for managing and manipulating relational databases.,
What is normalization in databases?,Normalization is the process of organizing data in a database to reduce redundancy and dependency.,
What is a primary key?,A primary key is a unique identifier for each record in a database table.,
What is a foreign key?,A foreign key is a column or a set of columns in one table that references the primary key in another table.,
What is ACID in database transactions?,"ACID stands for Atomicity, Consistency, Isolation, and Durability, which are the four key properties of a database transaction.",
What is indexing in databases?,Indexing is a technique used to improve the speed of data retrieval operations on a database table by creating a data structure that allows for quicker access to specific rows.,
What is a stored procedure?,A stored procedure is a precompiled collection of SQL statements that are stored in the database and can be called and executed as a single unit.,
What is data integrity in databases?,"Data integrity ensures the accuracy, consistency, and reliability of data stored in a database, typically enforced through constraints, such as primary keys, foreign keys, and data validation rules.",
Explain the concept of a view in SQL.,A view is a virtual table based on the result of a SELECT query. It does not store data itself but provides a way to represent data from one or more tables.,
What is the purpose of the SQL UNION operator?,"The UNION operator is used to combine the results of two or more SELECT statements, removing duplicate rows.",
What is a self-join in SQL?,"A self-join is a regular join, but the table is joined with itself. It's often used when there is a relationship within the same table.",
Explain the purpose of the SQL AVG() function.,The AVG() function calculates the average value of a numeric column in a result set.,
What is the purpose of the SQL NULL value?,NULL represents an unknown or missing value in a database. It is not the same as an empty string or zero.,
Explain the concept of a composite key.,A composite key is a combination of two or more columns that uniquely identifies a record in a table. Each column in the composite key contributes to its uniqueness.,
Explain the concept of a transaction in SQL.,"A transaction is a sequence of one or more SQL statements executed as a single unit. It ensures that all statements are executed successfully, or none of them are.",
What is the purpose of the SQL TRUNCATE TABLE statement?,"The TRUNCATE TABLE statement is used to quickly delete all rows from a table, but it does not log individual row deletions.",
What is the purpose of the SQL TRUNCATE TABLE statement?,"The TRUNCATE TABLE statement is used to quickly delete all rows from a table, but it does not log individual row deletions.",
Explain the purpose of the SQL GROUP_CONCAT() function.,"The GROUP_CONCAT() function concatenates values from multiple rows into a single string, grouping by a specified column.",
What is the purpose of the SQL INNER JOIN clause?,The INNER JOIN clause is used to combine rows from two or more tables based on a related column between them.,
Explain the purpose of the SQL ROW_NUMBER() function.,The ROW_NUMBER() function assigns a unique number to each row within a partition of a result set. It is often used for pagination.,
What is the purpose of the SQL CASCADE keyword in a foreign key constraint?,"CASCADE is used to automatically propagate changes in the parent table (e.g., a DELETE or UPDATE) to the related child table.",
Explain the concept of a self-referencing foreign key.,A self-referencing foreign key is a foreign key in a table that references the primary key in the same table. It establishes a relationship within the same table.,
What is the purpose of the SQL COALESCE() function?,The COALESCE() function is used to return the first non-null expression among its arguments.,
What is a database management system (DBMS)?,"A database management system is software that enables users to interact with databases, providing functionalities for storing, retrieving, updating, and managing data.",
What are the advantages of using a DBMS?,"Advantages include data consistency, data security, data sharing, data integrity, and centralized data management.",
What is a table in a database?,"A table is a collection of related data organized into rows and columns, where each row represents a record and each column represents a field or attribute.",
What is a query in databases?,"A query is a request for data or information from a database, typically written in SQL, that retrieves specific records or performs calculations.",
What is data modeling in databases?,"Data modeling is the process of designing the structure of a database, including defining tables, columns, relationships, and constraints, to represent real-world entities and their attributes.",
What is a transaction in databases?,"A transaction is a logical unit of work that consists of one or more database operations (such as insert, update, delete) that must be performed atomically and consistently.",
What is database normalization and denormalization?,"Database normalization is the process of organizing data to minimize redundancy and dependency, while denormalization is the opposite process of adding redundancy to improve performance.",
What is a view in a database?,"A view is a virtual table generated by a query that presents data from one or more tables in a predefined format, providing a customized and simplified perspective of the underlying data.",
What is a trigger in databases?,"A trigger is a database object that automatically executes a specified action (such as inserting, updating, deleting) in response to certain events (such as changes to data) occurring in a database table.",
What is database replication?,"Database replication is the process of copying and maintaining data across multiple databases or servers to improve availability, reliability, and performance.",
What is indexing in databases?,"Indexing is the process of creating data structures (indexes) to improve the speed of data retrieval operations, such as searching, sorting, and joining, by enabling quick access to specific data points.",
What are primary keys and foreign keys in databases?,"A primary key is a unique identifier for each record in a table, used to ensure data integrity and enforce entity integrity constraints. A foreign key is a field in a table that refers to the primary key of another table, establishing a relationship between the two tables.",
What is a stored procedure in databases?,"A stored procedure is a precompiled and stored collection of SQL statements that performs a specific task or set of tasks, allowing for modular code execution and improved performance.",
What is database concurrency control?,"Database concurrency control is the process of managing simultaneous access to shared data by multiple users or transactions to ensure data consistency and integrity, typically through mechanisms such as locking and timestamping.",
What is data warehousing?,"Data warehousing is the process of collecting, storing, and managing large volumes of structured and unstructured data from various sources to support business intelligence and decision-making processes.",
What is database partitioning?,"Database partitioning is the process of dividing a large database table into smaller, more manageable segments called partitions, based on criteria such as range, list, or hash, to improve performance, scalability, and manageability.",
What is the difference between OLTP and OLAP databases?,"OLTP (Online Transaction Processing) databases are optimized for transactional workloads with many short-lived transactions, while OLAP (Online Analytical Processing) databases are optimized for analytical queries and data analysis tasks involving complex queries and aggregations.",
What is ACID in the context of databases?,"ACID stands for Atomicity, Consistency, Isolation, and Durability, which are the four properties that guarantee the reliability and integrity of transactions in a database system.",
What is database sharding?,Database sharding is the process of horizontally partitioning data across multiple databases or servers (shards) to distribute the workload and improve scalability and performance.,
What is a NoSQL database?,"A NoSQL (Not Only SQL) database is a non-relational database that provides a flexible and scalable approach to data storage and retrieval, typically used for handling large volumes of unstructured or semi-structured data in distributed environments.",
What are the different types of NoSQL databases?,"The main types of NoSQL databases include key-value stores, document stores, column-family stores, and graph databases, each optimized for specific use cases and data models.",
What is a distributed database?,"A distributed database is a database system in which data is stored and replicated across multiple interconnected nodes or servers in a distributed computing environment, providing scalability, fault tolerance, and high availability.",
What is a data dictionary in databases?,"A data dictionary is a centralized repository that contains metadata and information about the structure, definition, and usage of data elements, tables, columns, constraints, and other database objects.",
What is database auditing?,"Database auditing is the process of monitoring and recording database activities, such as user actions, data changes, and system events, to ensure compliance with security policies, regulations, and auditing requirements.",
What is database clustering?,"Database clustering is the practice of grouping multiple database servers together to work as a single logical unit, providing load balancing, failover protection, and improved performance and availability.",
What is database migration?,"Database migration is the process of transferring data and database objects from one database management system (DBMS) or environment to another, typically to upgrade, consolidate, or move to a new platform.",
What is data replication in databases?,"Data replication is the process of copying and synchronizing data between multiple databases or data storage systems to ensure data availability, fault tolerance, and disaster recovery capabilities.",
What is database archiving?,"Database archiving is the process of moving inactive or historical data from the primary database to secondary storage for long-term retention, compliance, and regulatory purposes, while keeping it accessible for future reference.",
What is database schema evolution?,"Database schema evolution is the process of modifying the structure (schema) of a database over time to accommodate changes in data requirements, business rules, or application needs, while maintaining data integrity and compatibility.",
What is database caching?,Database caching is the practice of storing frequently accessed or recently used data in a cache memory to reduce the response time and improve the performance of database queries and transactions.,
Explain the concept of a foreign key.,A foreign key is a field in a table that establishes a link between that table and another table's primary key. It enforces referential integrity between the two tables.,
What is the purpose of the HAVING clause in SQL?,The HAVING clause is used in combination with the GROUP BY clause to filter the results of aggregate functions based on specified conditions.,
What is a view in a database?,A view is a virtual table based on the result of a SELECT query. It does not store data itself but provides a way to represent data from one or more tables.,
Explain the concept of normalization and its different forms.,"Normalization is the process of organizing data to reduce redundancy and dependency. Common normalization forms include 1NF (First Normal Form), 2NF, and 3NF.",
What is a trigger in a database?,"A trigger is a set of instructions that are automatically executed (""triggered"") in response to certain events on a particular table or view.",
How does the concept of ACID relate to database transactions?,"ACID (Atomicity, Consistency, Isolation, Durability) is a set of properties that guarantee reliable processing of database transactions, ensuring data integrity and reliability.",
Explain the concept of database indexing.,Database indexing is a technique to improve the speed of data retrieval operations by creating data structures (indexes) that allow for quicker access to rows based on specific columns.,
Explain the concept of a deadlock in a database.,A deadlock occurs when two or more transactions are unable to proceed because each is waiting for the other to release a lock. This can result in a situation where no progress can be made.,
What is the purpose of the SQL GROUP BY and ORDER BY clauses?,"The GROUP BY clause is used to group rows that have the same values in specified columns, while the ORDER BY clause is used to sort the result set based on one or more columns.",
"How does the JOIN operation work in SQL, and what are its types?","JOIN is used to combine rows from two or more tables based on a related column between them. Types of JOIN include INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN.",
Explain the concept of database normalization.,"Database normalization is the process of organizing data to minimize redundancy and dependency by dividing tables into smaller, related tables. The goal is to achieve data integrity and avoid data anomalies.",
What is the purpose of the SQL SELECT statement?,"The SELECT statement is used to retrieve data from one or more tables in a database. It allows you to specify the columns you want to retrieve, apply filtering conditions, and join tables.",
What are NoSQL databases?,NoSQL databases are non-relational databases designed for specific data models.,
Explain the concept of database indexing and its advantages.,"Database indexing is the process of creating data structures to improve the speed of data retrieval operations. Indexes allow for faster access to specific rows based on the indexed columns, improving query performance.",
What is the purpose of the SQL DISTINCT keyword?,The DISTINCT keyword is used to retrieve unique values from a specified column in a table. It eliminates duplicate rows from the result set.,
How do you optimize a database query for better performance?,"Query optimization involves using indexes, minimizing the use of wildcard characters, avoiding unnecessary joins, and optimizing the WHERE clause. Additionally, considering proper indexing and denormalization can enhance performance.",
What is SQL?,SQL (Structured Query Language) is a programming language used for managing and manipulating relational databases.,
What is a primary key?,A primary key is a unique identifier for a record in a table. It must contain unique values and cannot be null.,
What is the purpose of the SELECT statement in SQL?,The SELECT statement is used to retrieve data from one or more tables in a database.,
Explain the difference between WHERE and HAVING clauses.,"The WHERE clause filters rows before grouping, while the HAVING clause filters groups after the grouping process.",
What is the purpose of the GROUP BY clause?,The GROUP BY clause is used to group rows that have the same values in specified columns into summary rows.,
Explain the difference between INNER JOIN and LEFT JOIN.,"INNER JOIN returns only matching rows from both tables, while LEFT JOIN returns all rows from the left table and the matching rows from the right table.",
What is a foreign key?,A foreign key is a field in a table that refers to the primary key in another table. It establishes a link between the two tables.,
What is the purpose of the ORDER BY clause?,The ORDER BY clause is used to sort the result set of a query based on one or more columns.,
Explain the concept of a subquery in SQL.,A subquery is a query nested inside another query. It can be used to retrieve data that will be used in the main query as a condition.,
What is the difference between CHAR and VARCHAR data types?,"CHAR is a fixed-length string, while VARCHAR is a variable-length string. VARCHAR is more space-efficient as it only stores the actual data.",
What is the purpose of the SQL UPDATE statement?,The UPDATE statement is used to modify the existing records in a table.,
Explain the concept of normalization in databases.,"Normalization is the process of organizing data to reduce redundancy and dependency, typically by dividing tables into smaller, related tables.",
What is the purpose of the SQL LIKE operator?,The LIKE operator is used in a WHERE clause to search for a specified pattern in a column.,
"How do you delete all records from a table named ""customers""?",DELETE FROM customers.,
Explain the concept of an index in SQL.,An index is a data structure that improves the speed of data retrieval operations on a database table. It allows for quick access to rows based on indexed columns.,
What is a stored procedure?,A stored procedure is a precompiled set of one or more SQL statements that can be executed as a unit.,
What is the purpose of the SQL DISTINCT keyword?,The DISTINCT keyword is used to retrieve unique values from a specified column in a table,
What is a database relationship?,"A database relationship is a connection between two or more tables based on common fields, which defines how data in one table is related to data in another table.",
What are the different types of database relationships?,"One-to-One (1:1) ,One-to-Many (1:M) ,Many-to-One (M:1) ,Many-to-Many (M:N)",
What is a one-to-one relationship?,"A one-to-one relationship exists when each record in one table is related to exactly one record in another table, and vice versa.",
What is a one-to-many relationship?,"A one-to-many relationship exists when one record in one table can be associated with multiple records in another table, but each record in the second table is associated with only one record in the first table.",
What is a many-to-one relationship?,A many-to-one relationship exists when multiple records in one table can be associated with a single record in another table.,
What is a many-to-many relationship?,A many-to-many relationship exists when multiple records in one table can be associated with multiple records in another table.,
How are one-to-one relationships represented in database tables?,"In a one-to-one relationship, one table typically contains a foreign key that references the primary key of the related table.",
How are one-to-many relationships represented in database tables?,"In a one-to-many relationship, the table on the ""one"" side contains the primary key, while the table on the ""many"" side contains a foreign key that references the primary key of the ""one"" table.",
How are many-to-one relationships represented in database tables?,"A many-to-one relationship is essentially the reverse of a one-to-many relationship, where the table containing the foreign key is on the ""many"" side and references the primary key of the ""one"" table.",
How are many-to-many relationships represented in database tables?,"In a many-to-many relationship, an intermediary table, often called a junction or associative table, is used to link records from both tables through their respective primary keys.",
What is referential integrity in database relationships?,"Referential integrity is a database concept that ensures the consistency and accuracy of data by enforcing constraints on relationships between tables, typically through primary key-foreign key relationships.",
What is cascading delete in database relationships?,"Cascading delete is a feature that automatically deletes related records in child tables when a record in the parent table is deleted, ensuring data integrity and maintaining the integrity of the relationship.",
What is cascading update in database relationships?,"Cascading update is a feature that automatically updates related records in child tables when a corresponding record in the parent table is updated, ensuring consistency across the database.",
What is a self-referencing relationship in databases?,"A self-referencing relationship occurs when a table contains a foreign key that references its own primary key, allowing for hierarchical or recursive relationships within the same table.",
"What are surrogate keys, and how are they used in database relationships?","Surrogate keys are artificial, system-generated identifiers used as primary keys in database tables to uniquely identify records, especially when natural keys are unsuitable or unavailable for use in relationships.",
What is an identifying relationship in database design?,"An identifying relationship occurs when the primary key of the child table includes the primary key of the parent table as part of its own primary key, indicating a strong dependency between the two tables.",
What is a non-identifying relationship in database design?,"A non-identifying relationship occurs when the primary key of the child table does not include the primary key of the parent table, indicating a weaker dependency between the two tables.",
How do you handle many-to-many relationships in database normalization?,"Many-to-many relationships are typically resolved by decomposing them into two one-to-many relationships using an intermediary table, which is then normalized along with the other tables in the database schema.",
What is the role of foreign keys in maintaining database relationships?,"Foreign keys enforce referential integrity by ensuring that values in the foreign key column of a child table match values in the primary key column of the parent table, thereby establishing and maintaining relationships between tables.",
How do you establish relationships between tables in a database schema?,Relationships between tables are established by defining appropriate foreign key constraints that specify the relationship between the primary key column in one table and the corresponding foreign key column in another table.,
What is a primary key in a database table?,A primary key is a unique identifier for each record in a database table.,
What is a foreign key in a database table?,A foreign key is a field in a table that establishes a relationship with the primary key in another table.,
What is the purpose of a foreign key constraint?,A foreign key constraint ensures that values in a foreign key column match values in the primary key column of the related table.,
What is a one-to-one relationship?,A one-to-one relationship exists when each record in one table is associated with exactly one record in another table.,
What is a one-to-many relationship?,A one-to-many relationship exists when one record in one table can be associated with multiple records in another table.,
What is a many-to-one relationship?A many-to-one relationship exists when multiple records in one table can be associated with a single record in another table.,,
What is a many-to-many relationship?,A many-to-many relationship exists when multiple records in one table can be associated with multiple records in another table.,
What is referential integrity?,"Referential integrity ensures that relationships between tables remain consistent and valid, typically enforced through foreign key constraints.",
What is cascading delete?,Cascading delete automatically deletes related records in child tables when a record in the parent table is deleted.,
What is cascading update?,Cascading update automatically updates related records in child tables when a corresponding record in the parent table is updated.,
How do you represent a one-to-many relationship in a database schema?,"In a one-to-many relationship, the table containing the foreign key references the primary key of the related table.",
How do you represent a many-to-many relationship in a database schema?,A many-to-many relationship is typically implemented using a junction table that contains foreign keys referencing both related tables.,
What is a self-referencing relationship?,A self-referencing relationship occurs when a table contains a foreign key that references its own primary key.,
What is the difference between identifying and non-identifying relationships?,"In an identifying relationship, the child table's primary key includes the parent table's primary key. In a non-identifying relationship, it does not.",
How do you handle many-to-many relationships in database normalization?,Many-to-many relationships are resolved by decomposing them into two one-to-many relationships using an intermediary table.,
What is a surrogate key?,A surrogate key is a system-generated unique identifier used as a primary key when natural keys are unavailable or unsuitable.,
What is an associative entity?,An associative entity is a table that resolves a many-to-many relationship between two other tables.,
How do you enforce referential integrity in a database?,Referential integrity is enforced by defining foreign key constraints between related tables.,
What is the purpose of ON DELETE CASCADE?,ON DELETE CASCADE automatically deletes related records in child tables when a record in the parent table is deleted.,
What is a composite key?,"A composite key is a primary key composed of multiple columns, each of which individually may not be unique.",
What is a composite foreign key?,"A composite foreign key is a foreign key composed of multiple columns, each of which references a corresponding column in the parent table's primary key.",
What is the role of normalization in database design?,Normalization reduces data redundancy and ensures data integrity by organizing tables and their relationships efficiently.,
What is denormalization?,Denormalization is the process of intentionally introducing redundancy into a database schema to improve query performance.,
What is a transitive dependency?,A transitive dependency exists when a non-prime attribute depends on another non-prime attribute rather than the candidate key.,
What is a functional dependency?,A functional dependency occurs when the value of one attribute uniquely determines the value of another attribute in the same table.,
What is a superkey?,"A superkey is a set of one or more attributes that, taken collectively, uniquely identifies each record in a table.",
What is a candidate key?,"A candidate key is a minimal superkey, meaning it is a superkey with no unnecessary attributes.",
What is a weak entity?,A weak entity is an entity that cannot be uniquely identified by its attributes alone and relies on a related entity's existence.,
What is a strong entity?,"A strong entity is an entity that can be uniquely identified by its own attributes, without relying on another entity.",
What is inheritance in database design?,"Inheritance allows attributes and relationships defined in one entity to be inherited by another entity, facilitating reuse and simplifying data modeling.",
What is a subtype?,A subtype is a specialized entity that inherits attributes and relationships from a supertype.,
What is a supertype?,A supertype is a generalized entity that provides common attributes and relationships shared by multiple subtypes.,
What is the purpose of a join table in a many-to-many relationship?,A join table resolves a many-to-many relationship by storing combinations of primary key values from both related tables.,
What is a recursive relationship?,A recursive relationship occurs when a table is related to itself through a foreign key.,
What is the difference between horizontal and vertical partitioning?,"Horizontal partitioning divides a table by rows, while vertical partitioning divides a table by columns.",
What is a ternary relationship?,A ternary relationship involves three entities and represents a connection between them.,
What is an associative relationship?,"An associative relationship is a many-to-many relationship between two entities, typically represented by an associative entity.",
What is a dependent entity?,A dependent entity is an entity that cannot exist without being associated with another entity.,
What is an independent entity?,An independent entity is an entity that can exist on its own without being associated with another entity.,
What is an optional relationship?,An optional relationship is a relationship where one entity may or may not be associated with another entity.,
What is a mandatory relationship?,A mandatory relationship is a relationship where one entity must be associated with another entity.,
"What is a surrogate key, and when is it used?","A surrogate key is a unique identifier generated by the system, often used as a primary key when natural keys are unsuitable or unavailable.",
What is the role of referential integrity constraints in database relationships?,Referential integrity constraints,
How do you enforce a one-to-one relationship in a database schema?,"In a one-to-one relationship, each record in one table is associated with exactly one record in another table, typically through shared primary keys.",
How do you represent a many-to-many relationship in an ER diagram?,"In an ER diagram, a many-to-many relationship is represented by a diamond-shaped connector between two entity boxes.",
"What is a recursive foreign key, and how is it used?","A recursive foreign key is a foreign key that references the same table, often used to represent hierarchical relationships within a table.",
What is the purpose of an associative table in a database schema?,An associative table resolves a many-to-many relationship by storing combinations of primary key values from related tables.,
